size,lr,blk,epoch,head_frozen,PPL,mean_similarity_score,std_similarity_score,min_similarity_score,25%_similarity_score,50%_similarity_score,75%_similarity_score,mean_exact_match,std_exact_match,max_exact_match,exact_match_1,exact_match_2,exact_match_3,exact_match_4,exact_match_5,exact_match_6,exact_match_7,exact_match_8,exact_match_9,exact_match_10,exact_match_11,exact_match_12,exact_match_13,exact_match_14,exact_match_15,exact_match_18,exact_match_23,exact_match_54,exact_match_0,exact_match_16,exact_match_17,exact_match_19,exact_match_20,exact_match_21,exact_match_22,exact_match_25,exact_match_32,exact_match_39,exact_match_34,exact_match_37,exact_match_30,exact_match_33,exact_match_26,exact_match_29,exact_match_53,exact_match_27,exact_match_24,exact_match_28,exact_match_36,exact_match_38,exact_match_31,exact_match_35,exact_match_40,exact_match_42,exact_match_43,exact_match_46,exact_match_48,exact_match_52,exact_match_60,exact_match_64
gpt2-large,5E-05,0,2,False,19.2896,0.752322985382773,0.212412255700483,-0.10444387793541,0.613726705312729,0.802067160606384,0.932368844747543,0.909435294117647,1.3348910365854,19,20254,9714,4424,2090,1023,527,274,155,72,41,30,20,11,6,4,,,,22246,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt2-large,5E-05,0,4,False,19.9747,0.753903527313405,0.211303221968202,-0.065060190856457,0.616257965564728,0.803262293338776,0.932850062847137,0.946776470588235,1.37775184802776,18,20647,10135,4707,2284,1147,593,318,179,91,54,36,21,11,6,4,1,,,21853,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt2-large,5E-05,0,1,False,19.2672,0.750751787206958,0.213120104827852,-0.0661311596632,0.612761124968529,0.800970494747162,0.931170493364334,0.861247058823529,1.27016800401128,16,19806,9131,4050,1847,869,438,210,121,59,31,20,12,5,2,,,,,22694,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt2-large,1E-05,0.4,4,False,25.5768,0.75730895088177,0.208835406783581,-0.078775532543659,0.62290170788765,0.805604100227356,0.934301078319549,0.986729411764706,1.41418457324618,20,21133,10664,4934,2463,1246,678,363,218,102,57,31,22,11,5,3,,,,21367,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt2-large,1E-06,0.4,2,False,19.321,0.750967652327962,0.212986495740905,-0.1174725741148,0.613632798194885,0.800281137228012,0.930754408240318,0.826776470588235,1.2337818530999,21,19319,9055,3528,1635,767,386,201,118,50,28,18,14,6,4,3,,,,23181,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt2-large,1E-06,0.4,4,False,19.4576,0.751219842535455,0.212745259867673,-0.1174725741148,0.614170804619789,0.800611972808838,0.930510967969894,0.838023529411765,1.24679833250738,21,19478,9144,3636,1683,797,404,214,124,53,29,19,15,7,4,3,,,,23022,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt2-large,1E-06,0.4,5,False,19.4686,0.751450455046401,0.212486797960188,-0.1174725741148,0.61434930562973,0.800662130117416,0.930579230189323,0.841952941176471,1.25132366355942,21,19516,9186,3672,1708,813,413,217,124,53,28,18,15,7,4,3,,,,22984,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt2-large,1E-06,0.4,1,False,19.3425,0.750086384456966,0.213650487075319,-0.084739536046982,0.610952436923981,0.799752980470657,0.931078925728798,0.815341176470588,1.21756053123156,21,19214,8921,3425,1582,734,365,187,105,47,24,15,14,6,4,3,,,,23286,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt2-large,1E-07,0.4,4,False,19.8316,0.747701158034791,0.216725875138102,-0.069033183157444,0.606070294976234,0.799293756484985,0.930931642651558,0.803482352941176,1.19061133251287,15,19172,8702,3427,1495,689,342,155,88,37,15,11,10,3,,1,,,,23328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt2-large,1E-07,0.4,9,False,19.5152,0.74798720895831,0.21564766098379,-0.067101769149303,0.606304407119751,0.799202173948288,0.930548772215843,0.808423529411765,1.19889774604284,14,19195,8818,3390,1541,713,359,168,97,37,17,10,9,3,1,,,,,23305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
